t_index term df
1 aan 1
2 aaron 2
3 ab 1
4 aback 1
5 abahd 1
6 abandon 39
7 abat 1
8 abc 49
9 abcnew 3
10 abdallah 2
11 abdel 3
12 abdomin 2
13 abduct 2
14 abdul 16
15 abdullah 40
16 abdurahman 1
17 aberr 1
18 abhad 1
19 abhiyan 1
20 abhorr 2
21 abid 8
22 abidin 4
23 abidjan 36
24 abijan 1
25 abil 32
26 abl 105
27 ablaz 3
28 abnorm 1
29 aboard 93
30 abobo 3
31 abolish 4
32 abomin 1
33 abort 7
34 abou 1
35 abound 4
36 abov 43
37 abovo 1
38 abraham 10
39 abreast 1
40 abrego 1
41 abroad 52
42 abrog 2
43 abrupt 1
44 abruptli 4
45 abscam 1
46 absenc 6
47 absent 4
48 absente 7
49 absentia 3
50 absolut 43
51 absorb 10
52 abstain 1
53 abstent 1
54 absurd 2
55 abu 7
56 abund 2
57 abus 29
58 abuzaakouk 1
59 abyan 5
60 abyssinian 1
61 academ 6
62 academi 4
63 academia 1
64 acced 1
65 acceler 4
66 accent 2
67 accentu 2
68 accept 124
69 access 41
70 accid 32
71 accident 3
72 accommod 11
73 accompani 33
74 accomplic 5
75 accomplish 10
76 accord 145
77 accordingli 1
78 accordion 1
79 account 125
80 accredit 1
81 accumul 2
82 accur 14
83 accuraci 1
84 accus 131
85 accustom 2
86 ace 27
87 acerb 2
88 achiev 32
89 acid 2
90 acknowledg 55
91 acolyt 1
92 acosta 1
93 acquaint 1
94 acquiesc 1
95 acquir 5
96 acquisit 1
97 acquit 5
98 acquitt 3
99 acr 1
100 acrimoni 2
101 acrobat 5
102 acronym 1
103 act 135
104 action 95
105 activ 90
106 activist 19
107 actor 4
108 actress 2
109 actual 66
110 ad 119
111 adam 8
112 adapt 5
113 add 18
114 adden 1
115 addit 74
116 address 64
117 adem 1
118 aden 169
119 adequ 7
120 adher 4
121 adiksa 1
122 adjac 4
123 adjam 2
124 adjoin 3
125 adjourn 3
126 adjust 7
127 adlai 1
128 adm 44
129 admen 1
130 administ 9
131 administr 115
132 admir 38
133 admiralti 1
134 admiringli 1
135 admiss 2
136 admit 40
137 ado 2
138 adob 1
139 adolesc 2
140 adopt 17
141 adorn 1
142 adoubi 1
143 adra 1
144 adrain 1
145 adrenalin 1
146 adriat 1
147 adrift 4
148 adult 10
149 advanc 66
150 advani 1
151 advantag 21
152 adventist 1
153 adventur 2
154 advers 2
155 adversari 2
156 advertis 12
157 advic 6
158 advis 84
159 advisor 10
160 advisori 2
161 advoc 13
162 advocaci 2
163 aegi 5
164 aerial 3
165 aeroflot 1
166 af 1
167 affabl 1
168 affair 48
169 affect 29
170 affection 1
171 affili 6
172 affirm 6
173 afflict 1
174 afford 7
175 affront 2
176 afghan 17
177 afghanistan 46
178 afi 2
179 afibia 1
180 afield 1
181 afir 2
182 afl 2
183 afloat 13
184 afoul 1
185 afraid 28
186 afredo 1
187 africa 65
188 african 49
189 aft 3
190 aftehock 1
191 aftermath 14
192 afternoon 64
193 aftershock 43
194 afterward 13
195 afundament 1
196 agarw 1
197 agassi 47
198 agbayani 1
199 age 42
200 agenc 117
201 agenda 14
202 agent 83
203 ager 8
204 agglomer 1
205 aggrav 12
206 aggress 24
207 agil 1
208 agit 1
209 ago 207
210 agon 6
211 agoni 3
212 agonizingli 1
213 agre 77
214 agreement 49
215 agricultur 15
216 agustin 1
217 ah 1
218 aha 1
219 ahead 53
220 ahemdabad 1
221 ahm 15
222 ahmad 1
223 ahmadabad 2
224 ahmar 1
225 ahmedabad 20
226 ahold 1
227 ahren 1
228 ai 1
229 aid 158
230 aida 2
231 ail 5
232 ailment 1
233 aim 35
234 ainst 1
235 air 175
236 aircraft 27
237 airdrop 2
238 airfield 1
239 airforc 1
240 airlift 4
241 airlin 6
242 airlock 1
243 airman 1
244 airmen 11
245 airplan 7
246 airport 49
247 airstrik 3
248 airtim 2
249 airwav 1
250 airway 3
251 aisl 3
252 aj 1
253 ajax 1
254 ajnar 3
255 ajw 1
256 akaka 2
257 akan 2
258 akin 3
259 akishio 1
260 akouedo 1
261 al 108
262 ala 5
263 alabama 5
264 alain 1
265 alami 1
266 alamoudi 1
267 alan 5
268 alarm 19
269 alasan 1
270 alaska 3
271 alaskan 1
272 alassan 27
273 albani 1
274 albania 1
275 albanian 18
276 albeit 4
277 albert 1
278 alberto 66
279 albright 47
280 album 1
281 alce 3
282 alcohol 5
283 alehandr 1
284 alejandro 14
285 aleksa 1
286 aleksandar 6
287 aler 1
288 alert 62
289 alessio 4
290 alex 10
291 alexa 2
292 alexand 9
293 alexandria 1
294 alexei 1
295 alexeyev 1
296 alexsand 1
297 alfonso 1
298 alfr 2
299 alfredo 1
300 algeria 3
301 algerian 5
302 ali 44
303 alia 2
304 alibi 1
305 alien 3
306 alight 1
307 align 5
308 alija 1
309 alik 9
310 alisan 2
311 alisha 1
312 aliv 84
313 allafrica 1
314 allah 1
315 allahabad 2
316 allahbad 1
317 allan 1
318 alleg 72
319 allegedli 23
320 allegi 1
321 allen 22
322 allentown 1
323 alley 2
324 alleyway 3
325 alli 86
326 allianc 10
327 alliz 1
328 allot 1
329 allud 2
330 allus 5
331 alma 1
332 almagor 1
333 alon 39
334 alongsid 39
335 alou 1
336 alpha 2
337 alphabet 3
338 alpin 1
339 alreadi 164
340 alter 8
341 altern 20
342 altitud 1
343 altogeth 4
344 aluminum 2
345 alun 6
346 alway 93
347 amad 3
348 amanda 17
349 amarillo 2
350 amartej 3
351 amaru 4
352 amass 4
353 amateur 2
354 amaz 10
355 amazingli 1
356 ambassador 47
357 ambersag 1
358 ambigu 1
359 ambit 8
360 ambiti 2
361 ambival 2
362 ambul 11
363 ambush 1
364 ameli 6
365 amend 2
366 amerasian 1
367 america 128
368 american 353
369 americorp 1
370 amh 1
371 ami 2
372 amiabl 2
373 amic 1
374 amid 51
375 amidship 2
376 amin 1
377 amit 1
378 amman 2
379 ammo 1
380 ammonium 1
381 ammunit 22
382 amnesia 2
383 amnesti 2
384 amount 30
385 amp 5
386 amphibi 3
387 ampl 2
388 ampli 1
389 amplifi 1
390 amput 12
391 ana 7
392 anacostia 1
393 analges 1
394 analog 1
395 analysi 9
396 analyst 38
397 analyz 5
398 anarch 2
399 anathema 1
400 anatoli 8
401 anca 4
402 ancestor 3
403 ancestr 25
404 ancestri 1
405 anchor 8
406 anchorag 2
407 anchorman 3
408 ancient 4
409 andean 6
410 anderson 4
411 andi 5
412 andjelkov 1
413 andoslavia 1
414 andr 48
415 andrea 14
416 andrei 2
417 andrew 15
418 andrik 1
419 anew 7
420 angel 13
421 anger 46
422 angl 12
423 anglican 1
424 angri 27
425 angrili 4
426 anguish 8
427 ani 312
428 anim 2
429 animist 2
430 animos 11
431 anjana 1
432 anjar 6
433 anjay 1
434 ank 2
435 ankl 9
436 ann 11
437 anna 21
438 annabel 1
439 annacon 1
440 annan 13
441 anniversari 15
442 announc 164
443 annoy 2
444 annual 18
445 annul 11
446 anomali 1
447 anonym 63
448 anoth 263
449 answer 51
450 antagon 1
451 antasiaovich 1
452 antenna 2
453 anthem 6
454 anthoni 27
455 anthropologist 2
456 anti 85
457 antiballist 1
458 antibiot 5
459 anticip 17
460 anticlimact 1
461 antonia 6
462 antonin 1
463 antonio 26
464 anwar 4
465 anxieti 3
466 anxiou 11
467 anxious 2
468 anybodi 14
469 anymor 9
470 anyon 58
471 anyth 94
472 anytim 4
473 anywher 18
474 aon 1
475 ap 20
476 ape 1
477 apec 4
478 apex 1
479 apolit 1
480 apolog 18
481 appal 1
482 appallingli 1
483 appar 193
484 apparatu 7
485 appeal 95
486 appel 1
487 appetit 2
488 appl 3
489 applaud 10
490 applaus 8
491 appleton 2
492 appli 18
493 applic 16
494 appoint 68
495 appointe 3
496 apprais 2
497 appreci 16
498 apprehend 4
499 apprehens 2
500 apprentic 3
501 appris 1
502 approach 49
503 appropri 18
504 approv 25
505 approxim 12
506 april 67
507 aprista 4
508 apron 1
509 aquil 2
510 ar 3
511 arab 61
512 arabi 1
513 arabia 71
514 arabian 44
515 arafat 16
516 arantxa 3
517 arazi 7
518 arbadi 1
519 arbit 1
520 arbitrari 2
521 arbitrarili 1
522 arc 1
523 arch 2
524 archaeolog 2
525 archbishop 4
526 archer 1
527 archeri 4
528 archetyp 1
529 archi 5
530 archibald 1
531 architect 7
532 architectur 4
533 arctic 6
534 ardent 4
535 arduou 1
536 area 186
537 aren 16
538 arena 22
539 aretz 1
540 argentin 1
541 argentina 10
542 argu 45
543 arguabl 2
544 argument 18
545 ari 1
546 arid 5
547 arif 1
548 arisen 1
549 arithmet 1
550 aritomi 4
551 ariz 8
552 arizona 7
553 ark 8
554 arkadelphia 1
